Stim,Key,Ctx_Color,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_New_Bool.thisRepN,CR_New_Bool.thisTrialN,CR_New_Bool.thisN,CR_New_Bool.thisIndex,RT_Old_Bool.thisRepN,RT_Old_Bool.thisTrialN,RT_Old_Bool.thisN,RT_Old_Bool.thisIndex,RT_New_Bool.thisRepN,RT_New_Bool.thisTrialN,RT_New_Bool.thisN,RT_New_Bool.thisIndex,TR_Old_Bool.thisRepN,TR_Old_Bool.thisTrialN,TR_Old_Bool.thisN,TR_Old_Bool.thisIndex,TR_Old_Block.thisRepN,TR_Old_Block.thisTrialN,TR_Old_Block.thisN,TR_Old_Block.thisIndex,TR_Old_Iter.thisRepN,TR_Old_Iter.thisTrialN,TR_Old_Iter.thisN,TR_Old_Iter.thisIndex,TR_Feedback_Old_Bool.thisRepN,TR_Feedback_Old_Bool.thisTrialN,TR_Feedback_Old_Bool.thisN,TR_Feedback_Old_Bool.thisIndex,TR_Penalty_Old_Bool.thisRepN,TR_Penalty_Old_Bool.thisTrialN,TR_Penalty_Old_Bool.thisN,TR_Penalty_Old_Bool.thisIndex,TR_New_Bool.thisRepN,TR_New_Bool.thisTrialN,TR_New_Bool.thisN,TR_New_Bool.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_TR_Old_Text.started,Instr_TR_Old_Text.stopped,Instr_TR_Old_Press.keys,Instr_TR_Old_Press.rt,Instr_TR_Old_Press.started,Instr_TR_Old_Press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,Pre_Trial_Circle_Frame.started,Pre_Trial_Circle_Frame.stopped,Pre_Trial_HandShape.started,Pre_Trial_HandShape.stopped,TR_Circle_Frame.started,TR_Circle_Frame.stopped,TR_Circle.started,TR_Circle.stopped,TR_Ctx.started,TR_Ctx.stopped,TR_Stim_Image.started,TR_Stim_Image.stopped,TR_Press.keys,TR_Press.corr,TR_Press.rt,TR_Press.started,TR_Press.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Symbol,Shape,Ctx,Color,Stim_Num,Key_Num,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Actual_Press,RT,Correct,Session,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,Post_Trial_HandShape.started,Post_Trial_HandShape.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,h,"[1, -1, -1]",0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2254,Context_Learning_Pilot,2020.1.3,60.05183674869861,
1,u,"[-1, 1, -1]",1,media/dfnb.png,0.014,0.1,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2254,Context_Learning_Pilot,2020.1.3,60.05183674869861,
2,h,None,0,media/dbnb.png,0.057,0.08,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2254,Context_Learning_Pilot,2020.1.3,60.05183674869861,
3,u,None,1,media/dknb.png,0.1,0.04,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2254,Context_Learning_Pilot,2020.1.3,60.05183674869861,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,8.921449900022708,None,space,1.0420114999869838,8.921449900022708,None,10.017106299987063,None,h,0.3465249000582844,10.017106299987063,None,10.396068600006402,None,h,1.3105974999489263,10.396068600006402,None,11.806374300038442,None,11.806374300038442,None,11.921450800029561,None,11.921450800029561,None,11.921450800029561,None,12.480930400080979,None,h,0,1.2577422000467777,11.921450800029561,None,13.23452840000391,None,13.23452840000391,None,13.23452840000391,None,1,media/dfnb.png,1,"[1, -1, -1]",1,1,Symb,u,TR,0,0,1,1,1,0.6221339648664079,h,1.2577422000467777,0,1,13.582899500033818,None,13.582899500033818,None,1,1,2020_Dec_29_2254,Context_Learning_Pilot,2020.1.3,60.05183674869861,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.707112699979916,None,13.707112699979916,None,13.814565800013952,None,13.814565800013952,None,13.814565800013952,None,None,None,u,0,1.2846987000666559,13.814565800013952,None,15.124029700062238,None,15.124029700062238,None,15.124029700062238,None,1,media/dfnb.png,2,"[-1, 1, -1]",3,1,Symb,h,TR,0,0,2,1,1,-0.40559487384356163,u,1.2846987000666559,0,1,15.437078400049359,None,15.437078400049359,None,1,1,2020_Dec_29_2254,Context_Learning_Pilot,2020.1.3,60.05183674869861,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.551479900022969,None,15.551479900022969,None,15.66537880001124,None,15.66537880001124,None,15.66537880001124,None,16.58147179998923,None,u,0,1.2986021999968216,15.66537880001124,None,16.98565469996538,None,16.98565469996538,None,16.98565469996538,None,1,media/dfnb.png,2,"[-1, 1, -1]",3,1,Symb,h,TR,0,0,3,1,1,0.2695400725269792,u,1.2986021999968216,0,1,17.303927100030705,None,17.303927100030705,None,1,1,2020_Dec_29_2254,Context_Learning_Pilot,2020.1.3,60.05183674869861,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.41828840004746,None,17.41828840004746,None,17.53123039996717,None,17.53123039996717,None,17.53123039996717,None,18.464596900041215,None,h,0,1.2956142999464646,17.53123039996717,None,18.851321500027552,None,18.851321500027552,None,18.851321500027552,None,1,media/dfnb.png,1,"[1, -1, -1]",1,1,Symb,u,TR,0,0,4,1,1,0.24362003977905233,h,1.2956142999464646,0,1,19.17198460001964,None,19.17198460001964,None,1,1,2020_Dec_29_2254,Context_Learning_Pilot,2020.1.3,60.05183674869861,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.286824300070293,None,19.286824300070293,None,19.397843900020234,None,19.397843900020234,None,19.397843900020234,None,19.93127150007058,None,h,0,1.228961699991487,19.397843900020234,None,20.650980000034906,None,20.650980000034906,None,20.650980000034906,None,0,media/dcnb.png,2,"[-1, 1, -1]",2,0,Symb,u,TR,0,0,5,1,1,0.6492597158001622,h,1.228961699991487,0,1,20.972216599970125,None,20.972216599970125,None,1,1,2020_Dec_29_2254,Context_Learning_Pilot,2020.1.3,60.05183674869861,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.086880600079894,None,21.086880600079894,None,21.198000599979423,None,21.198000599979423,None,21.198000599979423,None,21.58148529997561,None,u,1,1.2046319999499246,21.198000599979423,None,22.482410500058904,None,22.482410500058904,None,22.482410500058904,None,0,media/dcnb.png,2,"[-1, 1, -1]",2,0,Symb,u,TR,0,0,6,1,1,0.8046564125448413,u,1.2046319999499246,1,1,22.80512350006029,None,22.80512350006029,None,1,1,2020_Dec_29_2254,Context_Learning_Pilot,2020.1.3,60.05183674869861,
