Stim,Key,Ctx_Color,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,Pre_Trial_Circle_Frame.started,Pre_Trial_Circle_Frame.stopped,Pre_Trial_HandShape.started,Pre_Trial_HandShape.stopped,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Symbol,Ctx,Color,Stim_Num,Key_Num,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Actual_Press,RT,Correct,Session,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,Post_Trial_HandShape.started,Post_Trial_HandShape.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.474146399996243,None,21.474146399996243,None,21.592303800047375,None,21.592303800047375,None,21.592303800047375,None,22.616269399994053,None,u,0,1.292836599983275,21.592303800047375,None,22.919354900019243,None,22.919354900019243,None,22.919354900019243,None,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,7,1,1,0.25943799489061425,u,1.292836599983275,0,1,23.23639049998019,None,23.23639049998019,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.362513400032185,None,23.362513400032185,None,23.490164199960418,None,23.490164199960418,None,23.490164199960418,None,23.8830556999892,None,u,1,1.2917430000379682,23.490164199960418,None,24.81448029994499,None,24.81448029994499,None,24.81448029994499,None,1,0,"[99, 99, 99]",1,1,Hand,u,TR,0,0,8,1,1,0.9035691691635761,u,1.2917430000379682,1,1,25.121578500024043,None,25.121578500024043,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.242792299948633,None,25.242792299948633,None,25.369190800003707,None,25.369190800003707,None,25.369190800003707,None,26.31730710004922,None,h,1,1.2600644000340253,25.369190800003707,None,26.66671919997316,None,26.66671919997316,None,26.66671919997316,None,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,9,1,1,0.350617404938795,h,1.2600644000340253,1,1,26.973824299988337,None,26.973824299988337,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.09692699997686,None,27.09692699997686,None,27.21697429998312,None,27.21697429998312,None,27.21697429998312,None,28.299783700029366,None,u,1,1.2685667000478134,27.21697429998312,None,28.524142000009306,None,28.524142000009306,None,28.524142000009306,None,1,0,"[99, 99, 99]",1,1,Hand,u,TR,0,0,10,1,1,0.21671571158246006,u,1.2685667000478134,1,1,28.843811300001107,None,28.843811300001107,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.97431439999491,None,28.97431439999491,None,29.108992399997078,None,29.108992399997078,None,29.108992399997078,None,29.96879249997437,None,u,1,1.2641799000557512,29.108992399997078,None,30.409227999974973,None,30.409227999974973,None,30.409227999974973,None,1,0,"[99, 99, 99]",1,1,Hand,u,TR,0,0,11,1,1,0.4331282804933828,u,1.2641799000557512,1,1,30.738581100013107,None,30.738581100013107,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.869007900008,None,30.869007900008,None,30.996169300051406,None,30.996169300051406,None,30.996169300051406,None,32.36988692005398,None,h,1,1.3546823000069708,30.996169300051406,None,32.38439370004926,None,32.38439370004926,None,32.38439370004926,None,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,12,1,1,-0.08810237283147981,h,1.3546823000069708,1,1,32.71844720002264,None,32.71844720002264,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.841425299993716,None,32.841425299993716,None,32.97251560003497,None,32.97251560003497,None,32.97251560003497,None,33.233509300043806,None,u,1,1.304647499928251,32.97251560003497,None,34.32022009999491,None,34.32022009999491,None,34.32022009999491,None,1,0,"[99, 99, 99]",1,1,Hand,u,TR,0,0,13,1,1,1.0385551846725385,u,1.304647499928251,1,1,34.63792310003191,None,34.63792310003191,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.76058490003925,None,34.76058490003925,None,34.87411850003991,None,34.87411850003991,None,34.87411850003991,None,35.90011990000494,None,h,1,1.298750700079836,34.87411850003991,None,36.21041449997574,None,36.21041449997574,None,36.21041449997574,None,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,14,1,1,0.2702212870842844,h,1.298750700079836,1,1,36.52502890001051,None,36.52502890001051,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.64530710002873,None,36.64530710002873,None,36.7565850999672,None,36.7565850999672,None,36.7565850999672,None,37.30059140000958,None,u,1,1.320709599996917,36.7565850999672,None,38.108180699986406,None,38.108180699986406,None,38.108180699986406,None,1,0,"[99, 99, 99]",1,1,Hand,u,TR,0,0,15,1,1,0.7612429145304394,u,1.320709599996917,1,1,38.43334290001076,None,38.43334290001076,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.541965699987486,None,38.541965699987486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
