Stim,Key,Ctx_Color,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,Pre_Trial_Circle_Frame.started,Pre_Trial_Circle_Frame.stopped,Pre_Trial_HandShape.started,Pre_Trial_HandShape.stopped,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Symbol,Ctx,Color,Stim_Num,Key_Num,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Actual_Press,RT,Correct,Session,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,Post_Trial_HandShape.started,Post_Trial_HandShape.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,h,"[1, -1, -1]",0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2251,Context_Learning_Pilot,2020.1.3,60.227902379124025,
1,u,"[-1, 1, -1]",1,media/dfnb.png,0.014,0.1,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2251,Context_Learning_Pilot,2020.1.3,60.227902379124025,
2,h,None,0,media/dbnb.png,0.057,0.08,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2251,Context_Learning_Pilot,2020.1.3,60.227902379124025,
3,u,None,1,media/dknb.png,0.1,0.04,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2251,Context_Learning_Pilot,2020.1.3,60.227902379124025,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,8.381913299905136,None,space,0.8394158000592142,8.381913299905136,None,9.271797599969432,None,h,0.3658880000002682,9.271797599969432,None,9.665062599931844,None,h,0.5658310999860987,9.665062599931844,None,10.36837879999075,None,10.36837879999075,None,10.522481599939056,None,10.522481599939056,None,10.522481599939056,None,10.627536099986173,None,h,1,1.2755398999433964,10.522481599939056,None,11.891098499996588,None,11.891098499996588,None,11.891098499996588,None,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,1,1,1,1.176066516835058,h,1.2755398999433964,1,1,12.240619899937883,None,12.240619899937883,None,1,1,2020_Dec_29_2251,Context_Learning_Pilot,2020.1.3,60.227902379124025,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.351040699984878,None,12.351040699984878,None,12.46771729993634,None,12.46771729993634,None,12.46771729993634,None,13.02890449995175,None,u,1,1.297733400017023,12.46771729993634,None,13.802198399906047,None,13.802198399906047,None,13.802198399906047,None,1,0,"[99, 99, 99]",1,1,Hand,u,TR,0,0,2,1,1,0.7389803640432946,u,1.297733400017023,1,1,14.135915499995463,None,14.135915499995463,None,1,1,2020_Dec_29_2251,Context_Learning_Pilot,2020.1.3,60.227902379124025,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.254897499922663,None,14.254897499922663,None,14.380403899936937,None,14.380403899936937,None,14.380403899936937,None,None,None,h,0,1.312998800072819,14.380403899936937,None,15.738026999984868,None,15.738026999984868,None,15.738026999984868,None,1,0,"[99, 99, 99]",1,1,Hand,u,TR,0,0,3,1,1,-0.07609720444434687,h,1.312998800072819,0,1,16.050999799976125,None,16.050999799976125,None,1,1,2020_Dec_29_2251,Context_Learning_Pilot,2020.1.3,60.227902379124025,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.167194699984975,None,16.167194699984975,None,16.28688949998468,None,16.28688949998468,None,16.28688949998468,None,17.310798699967563,None,h,1,1.462785999989137,16.28688949998468,None,17.78854879993014,None,17.78854879993014,None,17.78854879993014,None,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,4,1,1,0.2584872028508862,h,1.462785999989137,1,1,18.103262799908407,None,18.103262799908407,None,1,1,2020_Dec_29_2251,Context_Learning_Pilot,2020.1.3,60.227902379124025,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.216902799904346,None,18.216902799904346,None,18.334399099927396,None,18.334399099927396,None,18.334399099927396,None,18.944002599921077,None,h,1,1.2629682999104261,18.334399099927396,None,19.638825599919073,None,19.638825599919073,None,19.638825599919073,None,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,5,1,1,0.6921415725231765,h,1.2629682999104261,1,1,19.950295499991626,None,19.950295499991626,None,1,1,2020_Dec_29_2251,Context_Learning_Pilot,2020.1.3,60.227902379124025,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.066271299961954,None,20.066271299961954,None,20.183051600004546,None,20.183051600004546,None,20.183051600004546,None,21.196513599948958,None,u,0,1.3344296000432223,20.183051600004546,None,21.559200699906796,None,21.559200699906796,None,21.559200699906796,None,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,6,1,1,0.2875577205882973,u,1.3344296000432223,0,1,21.876061799935997,None,21.876061799935997,None,1,1,2020_Dec_29_2251,Context_Learning_Pilot,2020.1.3,60.227902379124025,
